    TPP PIU CIX CJA TRU LIM CUZ AQP SCL ARI IQQ CJC ANF LSC CCP ZCO PMC BBA UIO BUE CPC SLA IGR TUC COR MDZ NQN BRC CRD FTE USH REL RES RIO IGU FLN GRU REC ADZ BOG CLO CTG CUC MDE PEI SMR MTR BAQ MVD ASU 
PMC 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 1 0 1 0 3 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
BBA 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 2 2 2 2 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
UIO 3 3 3 3 3 2 3 3 4 4 4 0 0 0 0 0 0 0 0 4 0 0 0 0 3 3 0 0 0 0 0 0 0 3 0 3 3 0 0 2 2 2 2 2 2 2 0 2 4 4 
BUE 5 5 5 5 5 4 4 4 3 3 3 3 3 3 3 3 3 3 4 0 3 2 2 2 1 1 2 2 2 2 3 2 2 2 2 2 2 3 4 4 4 4 4 4 4 4 4 4 1 2 
CPC 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 2 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
SLA 0 0 0 0 0 4 0 0 3 2 2 2 0 0 0 0 0 0 0 2 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
IGR 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 2 1 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
TUC 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0 0 0 0 
COR 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 3 1 0 0 2 1 0 1 0 0 0 0 0 0 2 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 2 2 
MDZ 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 2 2 
NQN 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
BRC 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 2 2 0 2 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
CRD 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
FTE 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
USH 0 0 0 0 0 6 0 0 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
REL 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 
RES 0 0 0 0 0 4 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 
RIO 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 3 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 0 4 0 0 0 0 0 0 0 0 2 2 
IGU 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 
FLN 0 0 0 0 0 5 0 0 3 0 0 0 0 0 0 0 0 0 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 4 0 0 0 0 0 0 0 0 2 2 
GRU 4 4 4 4 4 3 4 4 3 4 4 4 4 4 4 4 4 4 3 2 4 4 3 4 3 3 3 3 3 3 3 3 3 2 2 2 0 2 3 3 3 3 3 3 3 3 3 3 2 2 
REC 0 0 0 0 0 5 0 0 4 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 4 0 0 0 0 0 0 0 0 0 0 
ADZ 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 2 0 1 0 0 0 0 0 2 0 0 
BOG 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 4 2 0 1 1 1 1 1 1 1 1 4 4 
CLO 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 
CTG 0 0 2 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 1 0 0 0 1 0 0 0 0 4 4 
CUC 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 0 0 0 0 0 
MDE 3 3 3 3 3 3 3 3 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 1 1 1 0 1 0 0 0 4 4 
PEI 2 2 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 1 0 1 0 0 0 0 
SMR 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 1 0 1 0 0 0 
MTR 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 1 0 1 0 0 
BAQ 0 0 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 1 0 0 0 0 0 0 1 0 0 0 
MVD 0 0 0 0 0 4 3 3 3 3 3 0 0 0 3 0 0 0 4 1 0 0 0 0 2 2 0 0 0 0 0 0 0 2 0 2 2 0 0 4 0 4 0 4 0 0 0 0 0 1 
ASU 0 0 0 0 0 4 3 3 3 3 3 0 0 0 0 3 0 0 4 2 0 0 0 0 2 2 0 0 0 0 0 0 2 2 0 2 2 0 0 4 0 4 0 4 0 0 0 0 1 0 
